port,country,phone,email,website
"Port of Kingston, United States",United States,+1 36 02973545 ,info@portofkingston.org,https://portofkingston.org/
"Port of Caucedo, Dominican Republic",Dominican Republic,+1 809 373 7300 ,terminalsvcdl.cau@dpworld.com,http://www.caucedo.com/
"Port of Rio Haina, Dominican Republic",Dominican Republic,+1 809 5370055 ,n/a,http://www.apordom.gov.do/
"Puerto Batadero, Dominican Republic",Dominican Republic,n/a,n/a,n/a
"Port of Sabana De La Mar, Dominican Republic",Dominican Republic,+1 809 5667576 ,n/a,http://www.apordom.gov.do/
"Port Boca Chica, Dominican Republic",Dominican Republic,+1 809 5234669 ,n/a,http://www.apordom.gov.do/
"Port of Botado, Dominican Republic",Dominican Republic,n/a,n/a,n/a
"Port of Barahona, Dominican Republic",Dominican Republic,+1 809 5242384 ,n/a,http://www.apordom.gov.do/
"Puerto Plata, Dominican Republic",Dominican Republic,+1 809 5866566 ,n/a,http://www.apordom.gov.do/
"Port of Arroyo Barril (Puerto Duarte), Dominican Republic",Dominican Republic,+1 809 5382283 ,n/a,http://www.apordom.gov.do/
"San Souci Terminal, Dominican Republic",Dominican Republic,+1 809 6874772 ,n/a,http://www.apordom.gov.do/
"Port of La Romana, Dominican Republic",Dominican Republic,+1 809 5507300 ,n/a,http://www.apordom.gov.do/
"Punta Nizao Oil Terminal, Dominican Republic",Dominican Republic,n/a,n/a,n/a
"Port of Santo Domingo, Dominican Republic",Dominican Republic,+1 809 6874772 ,n/a,http://www.apordom.gov.do/
"Port of San Pedro de Macoris, Dominican Republic",Dominican Republic,+1 809  5292093 ,n/a,http://www.apordom.gov.do/
"Port of Pepillo Salcedo (Manzanillo), Dominican Republic",Dominican Republic,+1 809 5799557 ,n/a,http://www.apordom.gov.do/
"Port of Palenque, Dominican Republic",Dominican Republic,n/a,n/a,http://www.apordom.gov.do/
"Port of Cabo Rojo, Dominican Republic",Dominican Republic,n/a,n/a,http://www.apordom.gov.do/
"Port of Sanchez, Dominican Republic",Dominican Republic,n/a,n/a,n/a
"Port of Santa Barbara De Samana, Dominican Republic",Dominican Republic,+1 809 2482289 ,n/a,http://www.apordom.gov.do/
"AES Andres LNG Terminal, Dominican Republic",Dominican Republic,+1 703 5221315 ,information@aes.com,http://www.aes.com/
"Don Diego Terminal, Dominican Republic",Dominican Republic,+1 809 6822170 ,n/a,http://www.apordom.gov.do/
"Las Calderas bay, Dominican Republic",Dominican Republic,n/a,n/a,n/a
"Puerto Viejo de Azua, Dominican Republic",Dominican Republic,+1 809 2480277 ,n/a,http://www.apordom.gov.do/
"Port of Catalina Island, Dominican Republic",Dominican Republic,+1 809 5234320 ,n/a,http://www.apordom.gov.do/
"Port of Luperon, Dominican Republic",Dominican Republic,+1 809 5718693 ,n/a,http://www.apordom.gov.do/
"Port of Cristobal Colon , Dominican Republic",Dominican Republic,+1 809 6820696 ,n/a,http://www.apordom.gov.do/
"Ladner (Delta) Harbour, Canada",Canada, +1 604 940 6432 ,delta_wharfinger@telus.net,n/a
"Ledge Harbour, Canada",Canada,n/a,n/a,n/a
"Bas-Caraquet Harbour, Canada",Canada,+1 506 727 2776 ,municipalite@bascaraquet.com,n/a
"Riviere St-Paul (Iledes Esquimaux), Canada",Canada,+1 418 379 202 ,t4roberts@gmail.com,n/a
"Port of Belledune, Canada",Canada,+1 506 5221200 ,info@portofbelledune.ca,http://www.portofbelledune.ca/
"Old Fort Bay, Canada",Canada,+1 418 379 2174 ,marvinsb@gmail.com,n/a
"Port Bickerton East , Canada",Canada,n/a,n/a,n/a
"Whiteway Harbour, Canada",Canada,+1 709 588 2657 ,n/a,n/a
"Shag Harbour, Canada",Canada, +1 902 723 2526 ,n/a,n/a
"Wesleyville Harbour, Canada",Canada,+1 709 536 5679 ,n/a,n/a
"Joe Batt's Arm Harbour, Canada",Canada,+1 709 877 2225 ,hafogoisland@nf.aibn.com,n/a
"Mainland Harbour, Canada",Canada,+1 709 642 5011 ,h_rouzes@hotmail.com,n/a
"Pacquet Harbour, Canada",Canada,+1 709 251 4321ext.5311 ,jrsacrey@eastlink.ca,n/a
"The Whistle (Whistle Beach), Canada",Canada,+1 506 662 8482 ,n/a,n/a
"Hecla Harbour, Canada",Canada,n/a,n/a,n/a
"Long Harbour (Mount Arlington Heights), Canada",Canada,+1 709 228 2102 ,n/a,n/a
"Lunenburg-Fishermen's Wharf Harbour, Canada",Canada,+ 1 902 634 3470 ,n/a,n/a
"Canyon Creek Harbour, Canada",Canada,+1 780 8492936 ,jdeal@telusplanet.net,n/a
"Valley Pond Harbour, Canada",Canada,+1 709 684 2482 ext.2226 ,acanning@nf.sympatico.ca,n/a
"Cape John Harbour, Canada",Canada,n/a,n/a,n/a
"Bartletts Harbour, Canada",Canada,+1 709 847 4119 ,n/a,n/a
"Bauline Harbour, Canada",Canada,+1 709 335 2773 ,n/a,n/a
"Lameque Harbour, Canada",Canada,+1 506 344 7558 ,quailameque@canada.com,n/a
"Alder Point Harbour, Canada",Canada, +1 902 7369128 ,n/a,n/a
"Balsam Bay, Canada",Canada,+1 204 754 2913 ,n/a,n/a
"Baie Des Moutons Harbour, Canada",Canada,+1 418 773 2485 ,garrybuffitt@globetrotter.net,n/a
"Bird Cove Harbour, Canada",Canada,+1 709 247 2000 ,n/a,n/a
"Ingomar Harbour (Black Point) , Canada",Canada,n/a,sea.scape@ns.sympatico.ca,n/a
"Caraquet Inc Harbour, Canada",Canada,+1 506 727 6145 ,cpc@nb.ainb.com,http://www.portcaraquet.ca/
"Boynes Cove, Canada",Canada,n/a,n/a,n/a
"East Side Port L'hebert Harbour , Canada",Canada,n/a,n/a,n/a
"Norris Point Harbour, Canada",Canada,+1 709 458 2647 ,brucejenniex@nf.sympatico.ca,n/a
"Port of Montreal, Canada",Canada,+1 514 2837011 ,bedardjl@port-montreal.com,http://www.port-montreal.com/
"Borden -Fishermen's Wharf, Canada",Canada,n/a,n/a,n/a
"Rivière-au-Tonnerre, Canada",Canada,+1 418 465 2032 ,rose_aimeecody@hotmail.com,n/a
"Red Harbour, Canada",Canada,+1 709 443 2321 ,harbourauthority@yahoo.ca,n/a
"Dover Harbour, Canada",Canada,+1 709 537 5608 ,n/a,n/a
"Centreville Harbour (Trout Cove) , Canada",Canada,n/a,n/a,n/a
"Savage Cove Harbour, Canada",Canada,+1 709 456 2758 ,oaway@yahoo.com,n/a
"Cap-Lumière Harbour, Canada",Canada,n/a,n/a,n/a
"Port Aux Basques Harbour, Canada",Canada,+1 709 6952214 ,bbutton@portauxbasques.ca,http://www.portauxbasques.ca/
"Hope Bay, Canada",Canada,n/a,n/a,n/a
"St Anicet, Canada",Canada,n/a,n/a,n/a
"Fanny Bay Harbour, Canada",Canada,+1 250 335 9171 ,pmgolden@shaw.ca,n/a
"Grahams Pond, Canada",Canada,n/a,n/a,n/a
"Glovertown Harbour, Canada",Canada,+1 709 533 2873 ,n/a,n/a
"Chevery (Riviere Cross) Quai, Canada",Canada,+1 418.787.2041 ,alexandredumas@globetrotter.net,n/a
"Abrams Village Harbour, Canada",Canada,n/a,n/a,n/a
"Battle Harbor, Canada",Canada,+1 709 9216216 ,information@battleharbour.com,http://www.battleharbour.com/
"Albion Harbour, Canada",Canada, +1 604 463 5255 ,derekkreuger@hotmail.com,n/a
"King's Cove Harbour, Canada",Canada,+1 709 447 4561 ,n/a,n/a
"Millhaven, Canada",Canada,n/a,n/a,n/a
"Chebogue Harbour (Town Point  Hill) , Canada",Canada,n/a,n/a,n/a
"Bonaventure (Riviere), Canada",Canada,+1 418 534 2222 ,raymondpigeon@hotmail.com,n/a
"Mitchell Bay, Canada",Canada,+1 250 973 6544 ,milha@island.net,n/a
"Heart's Content Harbour, Canada",Canada,+1 709 583 2439 ,donaldblundon@eastlink.ca,n/a
"Comfort Cove Harbour , Canada",Canada,+1 709 244 3108 ,n/a,n/a
"Prince Rupert (Dodge Cove), Canada",Canada,+1 250 624 4875 ,tacodog@citytel.net,n/a
"Parker's Cove Harbour, Canada",Canada,n/a,n/a,n/a
"Beauharnois canal, Canada",Canada,n/a,n/a,n/a
"George Island, Canada",Canada,n/a,n/a,n/a
"Smithsville Harbour, Canada",Canada,n/a,haofpl@ns.sympatico.ca,n/a
"Port Bickerton West, Canada",Canada,n/a,n/a,n/a
"McCallum Harbour, Canada",Canada,+1 709 846 4106 ,n/a,n/a
"Little Grindstone Point , Canada",Canada,+1 204  642 5283 ,n/a,n/a
"Coachman's Cove Harbour, Canada",Canada,+1 709 253 3305 ,n/a,n/a
"Kegaska- Cale De Halage Est Harbour, Canada",Canada,+1 418 726 3523 ,jnevans@globetrotter.net,n/a
"Grates Cove Harbour, Canada",Canada,n/a,n/a,n/a
"Moose Lake, Canada",Canada,+1 204 678 2222 ,n/a,n/a
"Chegoggin Point Harbour (Pembroke Dyke Channel), Canada",Canada,+1 902 742 2516 ,n/a,n/a
"St. Mary's Harbour, Canada",Canada,+1 709 525 2103 ,n/a,n/a
"Branch Harbour, Canada",Canada,+1 709 338 2703 ,mooneypatsy20@hotmail.com,n/a
"Indian Point Harbour, Canada",Canada,+1 902 624 9155 ,n/a,n/a
"Calders Dock Harbour, Canada",Canada,+1 204 276 2064 ,n/a,n/a
"Cox's Cove Harbour, Canada",Canada,+1 709 688 2718 ,tony@truenorthtours.ca,n/a
"Sandford Harbour, Canada",Canada,n/a,n/a,n/a
"Naufrage Harbour, Canada",Canada,n/a,n/a,n/a
"Hopedale Harbor, Canada",Canada,n/a,n/a,n/a
"Saglek Bay, Canada",Canada,n/a,n/a,n/a
"Chance Cove Harbour, Canada",Canada,+1 709 460 5211 ,n/a,n/a
"Hermitage Harbour, Canada",Canada,+1 709 883 2372 ,n/a,n/a
"Jenkins Cove Harbour, Canada",Canada,+1 709 884 1122 ,hatwillingate@nf.aibn.com,n/a
"Flatrock Harbour, Canada",Canada,+1 709 437 1452 ,n/a,n/a
"Little Judique Ponds Harbour, Canada",Canada,n/a,n/a,n/a
"Pereaux (Delhaven) Harbour, Canada",Canada,n/a,n/a,n/a
